id,name,c1,c2,c3,story,nav,win,lose,stranger,item
1,Planet Titan,21,2,3,You are in home Planet Titan right now. You need to collect all stones to be most powerful peron.,"press 1 to go to the Asgard, press 2 to go to Knowhere, press 3 to go Morag",,,,Reality
2,Knowhere,6,12,19,"Hundreds of years ago, the Tivan Group sent workers in to mine the organic matter within the skull. Bone, brain tissue, spinal fluid. All rare resources. Highly valued in black markets across the galaxy.","press 1 to go to the Quantum Realm, press 2 to go to Zen Whoberi , press 3 to go Aleppo",0,0,0,mind
3,Morag,1,5,9,You are in  oceanic planet located in the Andromeda Galaxy at the Eclipsing Binary Star M31V J00443799+4129236. Some inhabitants of this planet were the rodent-like Orloni and aquatic crocodile-like creatures. ,"press 1 to go back Planet Titan  press 2 to go sokovia, press 3 to go to Ego planet",0,0,1,
4,Xandar,11,13,15,It is the homeworld of the Xandarians and to many other species as the capital of the Nova Empire with a population of twelve billion. Xandar was located in the Andromeda Galaxy.,"press 1 to go back Wakanda, press 2 to go to Hala, press 3 to go to Madripoor",0,0,0,Power
5,sokovia,6,18,14,"It is  landlocked country in Central-Southeastern Europe, bordered by Slovakia and the Czech Republic. After its capital city was destroyed by Ultron, it was politically absorbed into the surrounding countries. ","press 1 to go to Quantum Realm 2 to go to TVA, press 3 to go to  Soul World",0,0,0,
6,Quantum Realm,7,3,11,"It is a dimension in the Multiverse only accessible through magic, Pym Particles or a Quantum Tunnel. ","press 1 to dig a hole to Kamar Taj,press 2 to go to Morag, press 3 to go to Wakanda",0,0,1,
7,Kamar Taj,2,8,20,"It is the home and training grounds to the Masters of the Mystic Arts, located in Kathmandu, Nepal.","press 1 to go to Knowhere, press 2 to go to Sanctum Sanctorum, press 3 to go to Morag.",0,0,0,
8,Sanctum Sanctorum,3,12,1,"It is  is one of the three bases of the Masters of the Mystic Arts, alongside the London Sanctum and the Hong Kong Sanctum. Located on 177A Bleecker Street in Greenwich Village, New York City, the sanctum provides mystical defense for Earth and is currently protected by Stephen Strange and Wong. ","press 1 to go to Morag, press 2 to go to Zen Whoberi, press 3 to go Planet titan",0,0,0,
9,Ego Planet,12,1,10,"When the mysterious cosmic being known as the Stranger visited his home star in order to conduct an experiment that would eventually cause it to go nova and destroy the twin planets orbiting it,[2] the scientist named Egros started to work on a way to save his race from the impending doom","press 1 to go to the Zen Whoberi, press 2 to go Planet Titan, press 3 to go to Saakar",0,0,1,Ego
10,Saakar,16,11,5,"Surrounded by cosmic gateways, Sakaar lives on the edge of the known and unknown. It is the collection point for all lost and unloved things.","press 1 to go to the Citadel ,press 2 to Wakanda,press 3 to go sokovia",0,0,0,
11,Wakanda,5,18,1,"It is a small isolationist landlocked country located in Africa, surrounded by mountain ranges and a thick jungle. It is one of the most technologically advanced nations on Earth, known for its rich deposits of the element vibranium. ","press 1 to go to Sokovia, press 2 to go to TVA ,press 3 to go to Planet Titan",1,0,0,Space
12,Zen Whoberi,5,6,7,"It  is the home planet of the Zehoberei species. It was invaded by Thanos and the Black Order, who exterminated half the population as part of his campaign to balance the universe. ",Press 1 to go Sokovia. Press 2 to go to Quantum reality Press 3 to go to the Kamar Taj,0,0,0,
13,Hala,2,4,8,It is the homeworld of the Kree and the capital planet of the Kree Empire.,Press 1 to go to the knowhere. Press 2 to go to the Xandar. Press 3 to go to Sanctum sanctorum,0,0,0,
14,Soul World,9,6,13,It is a pocket dimension that existed inside the Soul Stone where souls resided. ,Press 1 to go to theEgo Planet. Press 2 to go to the Quantum Realm. Press 3 to go to Hala,0,0,1,Soul
15,Madripoor,7,14,4,Madripoor could give New York a run for its money.They know how to party.,"Press 1 to go to Kamar Taj, press 2 to go to the Soul World and press 3 to go to the Xandar",0,0,0,
16,Citadel,1,2,12,"The Citadel is the palace of the Golden Tribe located in the capital city of Wakanda, the Golden City.","Press 1 to go Titan planet, 2 to go back to Knowhere, 3 to go back to Zen whoberi",0,0,1,
17,Lamentis,4,21,19,"The moon that planet is about to crash into and destroy. Of all of the apocalypses saved on that TemPad, this is the worst!","Press 1 to go Xandar, 2 to go back to Asgard, 3 to go back to Aleppo",0,0,0,
18,TVA,23,17,16,It is a bureaucratic organization created by He Who Remains located outside of space and time that was tasked with preserving the Sacred Timeline and preventing the creation of branching timelines. ,"press 1 to go to Bucharest 2 to go to Lamentis, press 3 to go to Citadel",0,0,0,
19,Aleppo,22,23,24,It  is a city in Syria and the capital of the Aleppo Governorate. ,"press 1 to go to Alfheim 2 to go to Bucharest, press 3 to go to Leizpig",1,0,0,Time
20,Algeria,25,19,18,You are in Algeria,"press 1 to go to Coney Island 2 to go to Aleppo, press 3 to go to TVA",0,1,0,
21,Asgard,17,15,13,"Asgard is not a place. It never was. This could be Asgard. Asgard is where our people stand. It is one of the Nine Realms and the former home world of the Asgardians. Asgard was destroyed in 2017 during Ragnarök, when Thor ordered Loki to unleash Surtur in order to kill Hela. The surviving Asgardians relocated to Earth, settling in Tønsberg, Norway, reestablishing the town as New Asgard. ","press 1 to go to Lamentis 2 to go to Madripoor, press 3 to go to Hala",1,2,1,
22,Alfheim,11,17,2,It  is one of the Nine Realms and the home of the Light Elves. ,"press 1 to go to Wakanda 2 to go to Lamentis, press 3 to go to Knowhere",2,3,2,
23,Bucharest,12,16,19,You are in Bucharest,"press 1 to go to Zen Whoberi 2 to go to Citadel, press 3 to go to Aleppo",3,4,3,
24,Leipzig,13,25,12,You are in Leipzig,"press 1 to go to Hala  2 to go to Coney Island, press 3 to go to Zen Whoberi",4,5,4,
25,Coney Island,23,12,5,You are in Coney Island,"press 1 to go to Bucharest 2 to go to Zen Whoberi, press 10 to go to Sokovia",5,6,5,
